src,dest,pathway
481,808,R-HSA-5578775
481,6717,R-HSA-5578775
481,6546,R-HSA-5578775
481,6547,R-HSA-5578775
481,6543,R-HSA-5578775
801,5348,R-HSA-5578775
805,5348,R-HSA-5578775
808,5348,R-HSA-5578775
801,6588,R-HSA-5578775
805,6588,R-HSA-5578775
808,6588,R-HSA-5578775
801,487,R-HSA-5578775
805,487,R-HSA-5578775
808,487,R-HSA-5578775
801,10768,R-HSA-5578775
805,10768,R-HSA-5578775
808,10768,R-HSA-5578775
801,476,R-HSA-5578775
805,476,R-HSA-5578775
808,476,R-HSA-5578775
801,481,R-HSA-5578775
805,481,R-HSA-5578775
808,481,R-HSA-5578775
801,478,R-HSA-5578775
805,478,R-HSA-5578775
808,478,R-HSA-5578775
801,482,R-HSA-5578775
805,482,R-HSA-5578775
808,482,R-HSA-5578775
801,488,R-HSA-5578775
805,488,R-HSA-5578775
808,488,R-HSA-5578775
801,490,R-HSA-5578775
805,490,R-HSA-5578775
808,490,R-HSA-5578775
801,493,R-HSA-5578775
805,493,R-HSA-5578775
808,493,R-HSA-5578775
801,5350,R-HSA-5578775
805,5350,R-HSA-5578775
808,5350,R-HSA-5578775
801,6717,R-HSA-5578775
805,6717,R-HSA-5578775
808,6717,R-HSA-5578775
801,6546,R-HSA-5578775
805,6546,R-HSA-5578775
808,6546,R-HSA-5578775
801,7220,R-HSA-5578775
805,7220,R-HSA-5578775
808,7220,R-HSA-5578775
801,477,R-HSA-5578775
805,477,R-HSA-5578775
808,477,R-HSA-5578775
801,483,R-HSA-5578775
805,483,R-HSA-5578775
808,483,R-HSA-5578775
801,486,R-HSA-5578775
805,486,R-HSA-5578775
808,486,R-HSA-5578775
801,6547,R-HSA-5578775
805,6547,R-HSA-5578775
808,6547,R-HSA-5578775
801,53822,R-HSA-5578775
805,53822,R-HSA-5578775
808,53822,R-HSA-5578775
801,53828,R-HSA-5578775
805,53828,R-HSA-5578775
808,53828,R-HSA-5578775
801,491,R-HSA-5578775
805,491,R-HSA-5578775
808,491,R-HSA-5578775
801,6786,R-HSA-5578775
805,6786,R-HSA-5578775
808,6786,R-HSA-5578775
801,480,R-HSA-5578775
805,480,R-HSA-5578775
808,480,R-HSA-5578775
801,3709,R-HSA-5578775
805,3709,R-HSA-5578775
808,3709,R-HSA-5578775
801,3710,R-HSA-5578775
805,3710,R-HSA-5578775
808,3710,R-HSA-5578775
801,3708,R-HSA-5578775
805,3708,R-HSA-5578775
808,3708,R-HSA-5578775
801,5349,R-HSA-5578775
805,5349,R-HSA-5578775
808,5349,R-HSA-5578775
801,492,R-HSA-5578775
805,492,R-HSA-5578775
808,492,R-HSA-5578775
801,489,R-HSA-5578775
805,489,R-HSA-5578775
808,489,R-HSA-5578775
801,84876,R-HSA-5578775
805,84876,R-HSA-5578775
808,84876,R-HSA-5578775
801,80228,R-HSA-5578775
805,80228,R-HSA-5578775
808,80228,R-HSA-5578775
801,53826,R-HSA-5578775
805,53826,R-HSA-5578775
808,53826,R-HSA-5578775
801,6543,R-HSA-5578775
805,6543,R-HSA-5578775
808,6543,R-HSA-5578775
478,801,R-HSA-5578775
478,805,R-HSA-5578775
478,808,R-HSA-5578775
478,6717,R-HSA-5578775
478,6546,R-HSA-5578775
478,6547,R-HSA-5578775
478,6543,R-HSA-5578775
482,801,R-HSA-5578775
482,805,R-HSA-5578775
482,808,R-HSA-5578775
482,6717,R-HSA-5578775
482,6546,R-HSA-5578775
482,6547,R-HSA-5578775
482,6543,R-HSA-5578775
488,10768,R-HSA-5578775
488,3709,R-HSA-5578775
488,3710,R-HSA-5578775
